bairro_origem,bairro_destino,nome_logradouro,distancia
Cidade Universitária,Iputinga,Avenida Professor Moraes Rego,2593.45
Cidade Universitária,Várzea,Avenida Professor Moraes Rego,2596.7
Iputinga,Várzea,Avenida Professor Moraes Rego,1769.92
Areias,Caçote,Avenida Recife,3471.85
Areias,Estância,Avenida Recife,4601.22
Areias,Ibura,Avenida Recife,6414.22
Areias,Ipsep,Avenida Recife,3352.46
Areias,Jardim São Paulo,Avenida Recife,3568.33
Caçote,Ibura,Avenida Recife,4514.06
Caçote,Ipsep,Avenida Recife,1452.3
Curado,Engenho do Meio,Avenida Recife,3343.95
Curado,Jardim São Paulo,Avenida Recife,3968.14
Curado,San Martin,Avenida Recife,3273.46
Curado,Torrões,Avenida Recife,3458.04
Engenho do Meio,Torrões,Avenida Recife,630.36
Estância,Jardim São Paulo,Avenida Recife,2797.54
Estância,San Martin,Avenida Recife,2102.86
Ibura,Ipsep,Avenida Recife,4394.66
Jardim São Paulo,San Martin,Avenida Recife,1069.97
San Martin,Torrões,Avenida Recife,559.87
Ilha Joana Bezerra,São José,Avenida Rio Capibaribe,1138.16
Dois Unidos,Linha do Tiro,Avenida Rio Morno,1050.66
Graças,Jaqueira,Avenida Rui Barbosa,2423.77
Aflitos,Encruzilhada,Avenida Santos Dumont,751.49
Aflitos,Graças,Avenida Santos Dumont,481.96
Encruzilhada,Graças,Avenida Santos Dumont,664.84
Encruzilhada,Ponto de Parada,Avenida Santos Dumont,698.71
Encruzilhada,Rosarinho,Avenida Santos Dumont,822.68
Graças,Rosarinho,Avenida Santos Dumont,553.15
Ponto de Parada,Rosarinho,Avenida Santos Dumont,587.01
Cabanga,São José,Avenida Saturnino de Brito,432.08
Cajueiro,Campina do Barreto,Avenida Sebastião Salazar,907.25
Cajueiro,Porto da Madeira,Avenida Sebastião Salazar,973.69
Imbiribeira,Ipsep,Avenida Senador Robert Kennedy,1357.23
Ilha do Retiro,Madalena,Avenida Sport Clube do Recife,959.94
Afogados,Cabanga,Avenida Sul Gov. Cid Sampaio,1826.89
Afogados,Imbiribeira,Avenida Sul Gov. Cid Sampaio,7645.21
Afogados,São José,Avenida Sul Gov. Cid Sampaio,4529.21
Boa Viagem,Imbiribeira,Avenida Sul Gov. Cid Sampaio,8313.38
Cabanga,São José,Avenida Sul Gov. Cid Sampaio,4670.36
Brejo de Beberibe,Passarinho,Avenida Tancredo Neves,1201.89
Areias,Estância,Avenida Tapajos,801.4
Areias,Jiquiá,Avenida Tapajos,915.39
Estância,Jiquiá,Avenida Tapajos,162.66
Brejo da Guabiraba,Brejo de Beberibe,Avenida Vereador Otacílio Azevedo,3392.77
Brejo de Beberibe,Vasco da Gama,Avenida Vereador Otacílio Azevedo,2631.53
Cidade Universitária,Curado,Avenida Visconde de São Leopoldo,1932.69
Cidade Universitária,Engenho do Meio,Avenida Visconde de São Leopoldo,1879.7
Curado,Engenho do Meio,Avenida Visconde de São Leopoldo,708.99
Apipucos,Dois Irmãos,Entrada BR 101-Avenida Norte,325.98
Casa Amarela,Casa Forte,Estrada das Ubaias,776.71
Campo Grande,Encruzilhada,Estrada de Belém,1956.55
Campo Grande,Hipódromo,Estrada de Belém,1188.78
Encruzilhada,Hipódromo,Estrada de Belém,832.15
Casa Amarela,Monteiro,Estrada do Arraial,2331.64
Casa Amarela,Tamarineira,Estrada do Arraial,2605.86
Curado,Jardim São Paulo,Estrada do Curado,1677.39
Casa Amarela,Casa Forte,Estrada do Encanamento,943.81
Casa Amarela,Monteiro,Estrada do Encanamento,744.39
Casa Amarela,Parnamirim,Estrada do Encanamento,1129.66
Casa Forte,Parnamirim,Estrada do Encanamento,891.13
Cordeiro,Torrões,Estrada do Forte do Arraial Novo do Bom Jesus,1793.87
Dois Irmãos,Guabiraba,Estrada dos Macacos,3177.0
Afogados,Ilha do Retiro,Estrada dos Remédios,2082.4
Ilha do Retiro,Madalena,Estrada dos Remédios,793.42
Arruda,Bomba do Hemetério,Estrada Velha de Água Fria,880.72
Arruda,Tamarineira,Estrada Velha de Água Fria,1070.64
Água Fria,Arruda,Estrada Velha de Água Fria,904.04
Água Fria,Bomba do Hemetério,Estrada Velha de Água Fria,681.56
Bongi,San Martin,Rua Acajutiba,488.14
Boa Viagem,Imbiribeira,Rua Adauto Carneiro Leal,197.03
Afogados,Mustardinha,Rua Adolfo Bezerra,348.21
Curado,Jardim São Paulo,Rua Agostinho Barbalho,720.99
Parnamirim,Tamarineira,Rua Albino Meira,196.16
Coqueiral,Tejipió,Rua Alcântara,487.71
Alto José Bonifácio,Vasco da Gama,Rua Alcântara Machado,152.5
Água Fria,Arruda,Rua Alegre,534.17
Afogados,Mangueira,Rua Alexandre Rodrigues Ferreira,835.59
Casa Forte,Parnamirim,Rua Alfredo Fernandes,388.42
Ponto de Parada,Rosarinho,Rua Almirante Noronha de Carvalho,372.98
Nova Descoberta,Vasco da Gama,Rua Alto 13 de Maio,967.96
Água Fria,Fundão,Rua Alto Bonito,493.18
Nova Descoberta,Vasco da Gama,Rua Alto da Favela,310.87
Alto José Bonifácio,Linha do Tiro,Rua Alto da Serrinha,410.89
Alto José Bonifácio,Vasco da Gama,Rua Alto do Bambuí,328.44
Fundão,Porto da Madeira,Rua Alto do Benjamim,336.57
Córrego do Jenipapo,Macaxeira,Rua Alto do Formoso,675.93
Brejo da Guabiraba,Brejo de Beberibe,Rua Alto do Refúgio,1155.63
Brejo da Guabiraba,Nova Descoberta,Rua Alto do Refúgio,1108.78
Brejo de Beberibe,Nova Descoberta,Rua Alto do Refúgio,1005.16
Brejo da Guabiraba,Córrego do Jenipapo,Rua Alto do Reservatório,516.31
Brejo da Guabiraba,Nova Descoberta,Rua Alto do Reservatório,835.73
Córrego do Jenipapo,Nova Descoberta,Rua Alto do Reservatório,945.33
Beberibe,Linha do Tiro,Rua Alto dos Coqueiros,525.92
Macaxeira,Nova Descoberta,Rua Alto Jardim Progresso,838.84
Alto José Bonifácio,Vasco da Gama,Rua Alto Nossa Senhora de Fátima,766.21
Córrego do Jenipapo,Macaxeira,Rua Alto Santa Luzia,276.11
Córrego do Jenipapo,Nova Descoberta,Rua Alto Santa Luzia,448.61
Macaxeira,Nova Descoberta,Rua Alto Santa Luzia,706.73
Encruzilhada,Rosarinho,Rua Amaro Coutinho,802.12
Boa Viagem,Pina,Rua Amazonas,382.21
Cordeiro,Iputinga,Rua Ambrósio Machado,1317.4
Espinheiro,Graças,Rua Amélia,976.51
Coqueiral,Totó,Rua Ananias Catanho,786.22
Graças,Jaqueira,Rua Antenor Navarro,150.15
Cordeiro,Torrões,Rua Antônio Carlos,355.3
Macaxeira,Nova Descoberta,Rua Antônio Carneiro,629.14
Graças,Jaqueira,Rua Antônio Celso Uchôa Cavalcanti,132.18
Madalena,Prado,Rua Antônio de Sá,735.14
Água Fria,Bomba do Hemetério,Rua Antônio Meira,600.28
Cordeiro,Torrões,Rua Antônio Valdevino Costa,1202.46
Sancho,Tejipió,Rua Aprígio Guimarães,1045.46
Afogados,Mustardinha,Rua Apucarana,481.43
Cajueiro,Porto da Madeira,Rua Arão Botler,613.0
Nova Descoberta,Vasco da Gama,Rua Arapiraca,207.41
Água Fria,Bomba do Hemetério,Rua Arapixuna,420.59
Alto José Bonifácio,Vasco da Gama,Rua Aratuba,135.17
Alto José do Pinho,Mangabeira,Rua Aripibu,29.85
Alto José do Pinho,Bomba do Hemetério,Rua Arlindo Cisneiros,259.33
Areias,Barro,Rua Armando Sales de Oliveira,177.53
Alto do Mandu,Macaxeira,Rua Aroeira,202.19
Alto José Bonifácio,Vasco da Gama,Rua Ary Peter,590.72
Brejo da Guabiraba,Córrego do Jenipapo,Rua Assaituba,84.27
Ibura,Jordão,Rua Assis Brasil,638.96
Nova Descoberta,Vasco da Gama,Rua Assunção,442.05
Encruzilhada,Torreão,Rua Augusto Rodrigues,445.85
Areias,Caçote,Rua Aurora Caçote,752.91
Água Fria,Bomba do Hemetério,Rua Avelar,221.39
Alto José do Pinho,Mangabeira,Rua Avenca,234.38
Barro,Tejipió,Rua Babaçulândia,203.1
Alto José do Pinho,Mangabeira,Rua Baguari,102.86
Barro,Tejipió,Rua Barão de Ladário,416.81
Boa Viagem,Imbiribeira,Rua Barão de Tefé,338.91
Ibura,Jordão,Rua Barra dos Coqueiros,292.48
Alto José do Pinho,Mangabeira,Rua Barra Verde,162.94
Alto José Bonifácio,Vasco da Gama,Rua Baulanadia,234.51
Cidade Universitária,Várzea,Rua Belém de São Francisco,637.31
Cajueiro,Porto da Madeira,Rua Belo Horizonte,330.19
Nova Descoberta,Vasco da Gama,Rua Bemposta,124.87
Alto José Bonifácio,Linha do Tiro,Rua Bismarck de Freitas,576.61
Boa Vista,Santo Amaro,Rua Bispo Cardoso Ayres,520.19
Boa Vista,Soledade,Rua Bispo Cardoso Ayres,144.74
Santo Amaro,Soledade,Rua Bispo Cardoso Ayres,377.79
Água Fria,Arruda,Rua Bom Conselho,735.93
Afogados,Jiquiá,Rua Bom Jardim,424.78
Afogados,Mangueira,Rua Bom Jardim,558.14
Jiquiá,Mangueira,Rua Bom Jardim,645.29
Jiquiá,San Martin,Rua Bom Jardim,386.3
Mangueira,San Martin,Rua Bom Jardim,519.67
Cordeiro,Engenho do Meio,Rua Bom Pastor,378.02
Cordeiro,Iputinga,Rua Bom Pastor,1118.54
Engenho do Meio,Iputinga,Rua Bom Pastor,1122.28
Cabanga,São José,Rua Bom Sucesso,235.15
Ibura,Jordão,Rua Boquira,115.52
Estância,Jiquiá,Rua Botuverá,295.51
Nova Descoberta,Vasco da Gama,Rua Brasitania,158.27
Casa Amarela,Morro da Conceição,Rua Bugari,227.46
Macaxeira,Nova Descoberta,Rua Bujaru,192.38
Macaxeira,Nova Descoberta,Rua Buritirano,184.93
Ilha Joana Bezerra,São José,Rua Cabo Eutrópio,987.16
Ibura,Jordão,Rua Cafarnaum,410.77
Encruzilhada,Rosarinho,Rua Caio Pereira,451.35
Ibura,Jordão,Rua Camocim,400.55
Ibura,Jordão,Rua Campo do Jordão,251.81
Alto José do Pinho,Bomba do Hemetério,Rua Campos Belos,69.54
Ibura,Jordão,Rua Campos do Jordão,236.02
Afogados,Mustardinha,Rua Capitão Adolfo Táquis,553.53
Graças,Rosarinho,Rua Capitão Sampaio Xavier,341.2
Graças,Tamarineira,Rua Capitão Sampaio Xavier,244.62
Rosarinho,Tamarineira,Rua Capitão Sampaio Xavier,117.37
Boa Viagem,Imbiribeira,Rua Capitão Vicente da Mota,193.4
Barro,Tejipió,Rua Capy,135.95
Madalena,Prado,Rua Caratinga,457.11
Afogados,Mustardinha,Rua Carlópolis,343.58
Bongi,Prado,Rua Carlos Gomes,1379.98
Madalena,Prado,Rua Carlos Gomes,1216.28
Macaxeira,Nova Descoberta,Rua Carlos Marighella,623.62
Macaxeira,Nova Descoberta,Rua Carnaíba,88.88
