bairro_origem,bairro_destino,nome_logradouro
Brejo da Guabiraba,Guabiraba,AV EMBAIXADOR ASSIS CHATEAUBRIAND
Brejo da Guabiraba,Guabiraba,ROD BR CENTO E UM
Brejo da Guabiraba,Guabiraba,RUA MORNO-RIO
Brejo da Guabiraba,Nova Descoberta,RUA ALTO DO REFUGIO
Brejo da Guabiraba,Nova Descoberta,RUA ALTO DO RESERVATORIO
Brejo da Guabiraba,Nova Descoberta,RUA PORTELANDIA
Brejo da Guabiraba,Nova Descoberta,RUA TEOLANDIA
Brejo da Guabiraba,Passarinho,AV DA RECUPERACAO
Brejo da Guabiraba,Passarinho,AV PRESIDENTE CAFE FILHO
Brejo da Guabiraba,Passarinho,ROD BR CENTO E UM
Brejo da Guabiraba,Passarinho,RUA MORNO-RIO
Brejo da Guabiraba,Passarinho,RUA N S DA PIEDADE
Brejo da Guabiraba,Passarinho,RUA SANTA TEREZA
Brejo de Beberibe,Dois Unidos,RUA DA PAZ
Brejo de Beberibe,Dois Unidos,RUA DR ANTONIO DA ROSA BORGES
Brejo de Beberibe,Dois Unidos,RUA IZALTINO LOBO
Brejo de Beberibe,Dois Unidos,RUA MORNO-RIO
Brejo de Beberibe,Dois Unidos,RUA TUPIRACABA
Brejo de Beberibe,Linha do Tiro,RUA IZALTINO LOBO
Brejo de Beberibe,Linha do Tiro,RUA MORNO-RIO
Brejo de Beberibe,Linha do Tiro,RUA URIEL DE HOLANDA
Brejo de Beberibe,Nova Descoberta,RUA ALTO DO REFUGIO
Brejo de Beberibe,Nova Descoberta,RUA CERRO AZUL
Brejo de Beberibe,Nova Descoberta,RUA NOVA DESCOBERTA
Brejo de Beberibe,Nova Descoberta,RUA PORTELANDIA
Brejo de Beberibe,Nova Descoberta,RUA TEOLANDIA
Brejo de Beberibe,Nova Descoberta,RUA URANDI
Brejo de Beberibe,Passarinho,AV CANAA
Brejo de Beberibe,Passarinho,AV PRESIDENTE CAFE FILHO
Brejo de Beberibe,Passarinho,AV TANCREDO NEVES
Brejo de Beberibe,Passarinho,RUA DA AMIZADE
Brejo de Beberibe,Passarinho,RUA DR ANTONIO DA ROSA BORGES
Brejo de Beberibe,Passarinho,RUA MORNO-RIO
Brejo de Beberibe,Passarinho,RUA SANTA TEREZA
Brejo de Beberibe,Passarinho,RUA SELMA
Brejo de Beberibe,Passarinho,RUA SO NOS DOIS
Brejo de Beberibe,Vasco da Gama,AV VEREADOR OTACILIO AZEVEDO
Brejo de Beberibe,Vasco da Gama,RUA GRIJALVA COSTA
Cabanga,Pina,RUA BACIA DO PINA
Cabanga,Pina,RUA PINA-RIO
Cabanga,São José,AV ENGENHEIRO JOSE ESTELITA
Cabanga,São José,AV SATURNINO DE BRITO
Cabanga,São José,AV SUL GOV. CID SAMPAIO
Cabanga,São José,RUA BACIA DO PINA
Cabanga,São José,RUA BOM SUCESSO
Cajueiro,Campina do Barreto,AV SEBASTIAO SALAZAR
Cajueiro,Campina do Barreto,RUA BEBERIBE-RIO
Cajueiro,Campina do Barreto,RUA CORONEL URBANO RIBEIRO DE SENA
Cajueiro,Campina do Barreto,RUA COUTO SOARES
Cajueiro,Campina do Barreto,RUA HERCILIA DE MEDEIROS
Cajueiro,Campina do Barreto,RUA MANOEL BRANDAO
Cajueiro,Campina do Barreto,RUA NADIA
Cajueiro,Fundão,AV BEBERIBE
Cajueiro,Fundão,AV NOVA DO FUNDAO
Cajueiro,Fundão,RUA CORONEL URBANO RIBEIRO DE SENA
Cajueiro,Porto da Madeira,AV BEBERIBE
Cajueiro,Porto da Madeira,AV SEBASTIAO SALAZAR
Cajueiro,Porto da Madeira,RUA ARAO BOTLER
Cajueiro,Porto da Madeira,RUA BEBERIBE-RIO
Cajueiro,Porto da Madeira,RUA BELO HORIZONTE
Cajueiro,Porto da Madeira,RUA DR ALBERTO WANDERLEY
Cajueiro,Porto da Madeira,RUA PARA
Campina do Barreto,Fundão,RUA CORONEL URBANO RIBEIRO DE SENA
Campina do Barreto,Peixinhos,AV POETA VINICIUS DE MORAIS
Campina do Barreto,Peixinhos,RUA BEBERIBE-RIO
Campina do Barreto,Peixinhos,RUA DR ELIAS GOMES
Campina do Barreto,Peixinhos,RUA EXP JAMIL DAGLI
Campina do Barreto,Peixinhos,RUA JORNALISTA PAULO MATOS
Campina do Barreto,Água Fria,RUA CONSTANCA
Campina do Barreto,Água Fria,RUA CORONEL URBANO RIBEIRO DE SENA
Campina do Barreto,Água Fria,RUA DAS MOCAS
Campina do Barreto,Água Fria,RUA EXP JAMIL DAGLI
Campina do Barreto,Água Fria,RUA MARCILIO DIAS
Campo Grande,Encruzilhada,EST DE BELEM
Campo Grande,Encruzilhada,RUA CRISTOVAO JAQUES
Campo Grande,Encruzilhada,RUA MARECHAL DEODORO
Campo Grande,Encruzilhada,RUA OTHON PARAISO
Campo Grande,Encruzilhada,RUA PROFESSOR JERONIMO GUEIROS
Campo Grande,Hipódromo,EST DE BELEM
Campo Grande,Hipódromo,RUA FRANCISCO BERENGUER
Campo Grande,Hipódromo,RUA MARQUES DE BAIPENDI
Campo Grande,Hipódromo,RUA MATEUS TARTARUGA
Campo Grande,Hipódromo,RUA PADRE VILLEMAIN
Campo Grande,Hipódromo,RUA PROFESSOR JERONIMO GUEIROS
Campo Grande,Hipódromo,RUA PRUDENTE DE MORAES
Campo Grande,Peixinhos,AV CORREIA DE BRITO
Campo Grande,Peixinhos,AV PROFESSOR JOSE DOS ANJOS
Campo Grande,Peixinhos,RUA BEBERIBE-RIO
Campo Grande,Ponto de Parada,AV PROFESSOR JOSE DOS ANJOS
Campo Grande,Ponto de Parada,RUA PETRONILA BOTELHO
Campo Grande,Ponto de Parada,RUA PROFESSOR JERONIMO GUEIROS
Campo Grande,Santo Amaro,AV GOVERNADOR AGAMENON MAGALHAES
Campo Grande,Santo Amaro,RUA PROJETADA
Campo Grande,Torreão,AV GOVERNADOR AGAMENON MAGALHAES
Campo Grande,Torreão,RUA DA FRONTEIRA
Campo Grande,Torreão,RUA DJALMA FARIAS
Campo Grande,Torreão,RUA DOM JOAO COSTA
Campo Grande,Torreão,RUA OTHON PARAISO
Casa Amarela,Casa Forte,EST DAS UBAIAS
Casa Amarela,Casa Forte,EST DO ENCANAMENTO
Casa Amarela,Casa Forte,RUA DA HARMONIA
Casa Amarela,Casa Forte,RUA JOAO BARBALHO
Casa Amarela,Mangabeira,AV NORTE MIGUEL ARRAES DE ALENCAR
Casa Amarela,Mangabeira,AV PROFESSOR JOSE DOS ANJOS
