bairro_origem,bairro_destino,logradouro,peso
Afogados,Mustardinha,Rua Carlopolis,343.58
Coqueiral,Sancho,Rua Paulino De Farias,343.94
Campo Grande,Encruzilhada,Rua Cristovao Jaques,344.86
Alto José Bonifácio,Vasco da Gama,Rua Corrego Do Ouro,348.1
Alto do Mandu,Apipucos,Rua Massaranduba,348.17
Afogados,Mustardinha,Rua Adolfo Bezerra,348.21
Areias,Barro,Rua Coronel Lamenha,350.88
Bongi,Mustardinha,Avenida Consul Vilares Fragoso,351.44
Estância,Jiquiá,Rua Professor Caldas Filho,353.64
Cordeiro,Torrões,Rua Antonio Carlos,355.3
Boa Vista,Santo Amaro,Rua Do Principe,355.79
Bongi,Prado,Rua Santa Edwirges,361.69
Poço,Casa Amarela,Rua Engenheiro Oscar Ferreira,363.0
Boa Vista,Paissandu,Rua General Joaquim Inacio,363.79
Encruzilhada,Hipódromo,Rua Professor Miranda Curio,364.53
Coelhos,Ilha do Leite,Rua Jose De Alencar,367.04
Água Fria,Bomba do Hemetério,Rua Rui Frazao,370.63
Encruzilhada,Graças,Rua Teles Junior,372.38
Ponto de Parada,Rosarinho,Rua Almirante Noronha De Carvalho,372.98
Alto Santa Teresinha,Linha do Tiro,Rua Alto do Tiro,373.0
Jiquiá,San Martin,Rua Cordelia Gois Silva,373.33
Madalena,Prado,Rua Manicore,375.93
Cordeiro,Torrões,Rua Dezesseis De Outubro,377.11
Santo Amaro,Soledade,Rua Bispo Cardoso Ayres,377.79
Cordeiro,Engenho do Meio,Rua Bom Pastor,378.02
Água Fria,Arruda,Rua Sao Bento,379.35
Boa Viagem,Pina,Rua Amazonas,382.21
Coqueiral,Tejipió,Rua Lourenco Bezerra,382.79
Encruzilhada,Rosarinho,Rua Salvador De Sa,382.84
Boa Vista,Santo Amaro,Rua Princesa Isabel,384.09
Santana,Torre,Avenida Beira Rio,384.28
Alto José Bonifácio,Linha do Tiro,Rua Gustavo Barrozo,385.65
Jiquiá,San Martin,Rua Bom Jardim,386.3
Ilha do Leite,Paissandu,Rua Prefeito Jorge Martins,387.34
Casa Forte,Parnamirim,Rua Alfredo Fernandes,388.42
Ilha do Retiro,Madalena,Rua Senador Fabio De Barros,388.6
Santo Antônio,São José,Rua Direita,390.39
Casa Amarela,Monteiro,Avenida Doutor Eurico Chaves,394.1
Alto José Bonifácio,Morro da Conceição,Rua Corrego Do Ouro,394.34
Graças,Rosarinho,Rua Desembargador Martins Pereira,397.4
Sancho,Tejipió,Rua Matoso Da Camara,399.87
Alto do Mandu,Monteiro,Rua Quatro De Marco,399.88
Encruzilhada,Hipódromo,Rua Dona Elvira,400.08
Campo Grande,Encruzilhada,Rua Othon Paraiso,400.1
Água Fria,Fundão,Rua Manoel Silva,400.21
Ibura,Jordão,Rua Camocim,400.55
Dois Unidos,Passarinho,Rua Do Agave,403.72
Cajueiro,Campina do Barreto,Rua Coronel Urbano Ribeiro De Sena,403.74
Alto José do Pinho,Mangabeira,Rua Monte Horeb,405.62
Cordeiro,Torrões,Rua Felixlandia,408.31
Ibura,Jordão,Rua Cafarnaum,410.77
Alto José Bonifácio,Linha do Tiro,Rua Alto Da Serrinha,410.89
Água Fria,Porto da Madeira,Rua Conselheiro Barros Barreto,413.84
Barro,Tejipió,Rua Barao De Ladario,416.81
Brejo de Beberibe,Nova Descoberta,Rua Cerro Azul,419.19
Ilha do Leite,Paissandu,Rua Estado De Israel,419.22
Água Fria,Campina do Barreto,Rua Constanca,419.25
Encruzilhada,Torreão,Rua Padre Miguelinho,419.76
Água Fria,Bomba do Hemetério,Rua Arapixuna,420.59
Sancho,Totó,Rua Do Nascente,420.9
Brejo de Beberibe,Nova Descoberta,Rua Portelandia,422.87
Afogados,Jiquiá,Rua Bom Jardim,424.78
Santo Antônio,São José,Rua Tobias Barreto,427.17
Cordeiro,Iputinga,Avenida Camarao,428.68
Beberibe,Porto da Madeira,Avenida Anibal Benevolo,429.44
Cabanga,São José,Avenida Saturnino De Brito,432.08
Macaxeira,Nova Descoberta,Rua Jose Carlos Novaes Da Mata Machado,432.52
Campo Grande,Torreão,Rua Dom Joao Costa,434.4
Poço,Monteiro,Rua Tapacurá,435.0
Cordeiro,Zumbi,Rua Tomaz Gonzaga,436.79
Derby,Graças,Rua Guilherme Pinto,437.43
Coqueiral,Tejipió,Rua Guanabara,438.82
Boa Vista,Soledade,Rua Do Principe,439.23
Água Fria,Porto da Madeira,Rua Judith,439.55
Nova Descoberta,Vasco da Gama,Rua Assuncao,442.05
Poço,Casa Forte,Estrada do Encanamento,444.0
Encruzilhada,Torreão,Rua Augusto Rodrigues,445.85
Alto Santa Teresinha,Alto José Bonifácio,Rua Alto da Serrinha,448.0
Córrego do Jenipapo,Nova Descoberta,Rua Alto Santa Luzia,448.61
Boa Vista,Ilha do Leite,Rua Visconde De Goiana,450.56
Encruzilhada,Rosarinho,Rua Caio Pereira,451.35
Alto José do Pinho,Mangabeira,Rua Da Mangabeira,451.56
Apipucos,Macaxeira,Rua Massaranduba,452.4
Ibura,Jordão,Rua Elesbao Veloso,452.74
Jaqueira,Parnamirim,Rua Leonardo Bezerra Cavalcanti,453.43
Madalena,Prado,Rua Caratinga,457.11
Madalena,Zumbi,Rua Caratinga,457.11
Prado,Zumbi,Rua Caratinga,457.11
Brasília Teimosa,Pina,Rua Francisco Valpassos,457.75
Boa Vista,Soledade,Rua Das Ninfas,458.95
Alto do Mandu,Macaxeira,Rua Massaranduba,463.11
Boa Vista,Soledade,Rua Da Soledade,466.31
