bairro_normalizado,total_empresas,top_3_atividades,microrregiao
San Martin,581,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 149}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 47}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 45}]",5.1
Sancho,52,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 22}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 7}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 3}]",5.3
Santana,346,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 90}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 49}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 38}]",3.1
Santo Amaro,2907,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 572}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 238}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 213}]",1.1
Santo Antonio,2232,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 647}, {'atividade': 'INSTITUICOES FINANCEIRAS E SECURITARIAS', 'quantidade': 170}, {'atividade': 'REPRESENTACAO, AGENCIAMENTO, CORRETAGEM', 'quantidade': 165}]",1.2
Sao Jose,1706,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 717}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 266}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 133}]",1.2
Sitio Dos Pintos,20,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 8}, {'atividade': 'EDUCACAO', 'quantidade': 2}, {'atividade': 'SAUDE', 'quantidade': 2}]",3.1
Soledade,497,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 111}, {'atividade': 'EDUCACAO', 'quantidade': 50}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 41}]",1.2
Tamarineira,733,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 170}, {'atividade': 'SAUDE', 'quantidade': 80}, {'atividade': 'EDUCACAO', 'quantidade': 65}]",3.1
Tejipio,220,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 48}, {'atividade': 'EDUCACAO', 'quantidade': 17}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 16}]",5.3
Torre,592,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 142}, {'atividade': 'EDUCACAO', 'quantidade': 53}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 47}]",4.1
Torreao,277,"[{'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 51}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 42}, {'atividade': 'SAUDE', 'quantidade': 25}]",2.1
Torroes,272,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 68}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 33}, {'atividade': 'ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS', 'quantidade': 21}]",4.2
Toto,40,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 18}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 5}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 3}]",5.3
Varzea,1641,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 314}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 181}, {'atividade': 'EDUCACAO', 'quantidade': 124}]",4.3
Vasco Da Gama,261,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 96}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 22}, {'atividade': 'EDUCACAO', 'quantidade': 19}]",3.2
Zumbi,296,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 66}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 36}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 20}]",4.1
