bairro_normalizado,total_empresas,top_3_atividades,microrregiao,grau,centralidade_grau,centralidade_closeness,centralidade_betweenness,cluster_conectividade,top_20_percent
Nova Descoberta,207,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 117}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 13}, {'atividade': 'EDUCACAO', 'quantidade': 12}]",3.3,7,0.07526881720430108,0.229064039408867,0.12849162011173185,55,True
Paissandu,952,"[{'atividade': 'SAUDE', 'quantidade': 203}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 93}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 82}]",1.2,3,0.03225806451612903,0.22037914691943128,0.0335195530726257,18,False
Parnamirim,960,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 314}, {'atividade': 'SAUDE', 'quantidade': 68}, {'atividade': 'EDUCACAO', 'quantidade': 58}]",3.1,5,0.053763440860215055,0.25271739130434784,0.43575418994413406,3,False
Passarinho,70,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 17}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 11}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 8}]",3.3,4,0.043010752688172046,0.19334719334719336,0.12849162011173185,65,False
Peixinhos,6,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 2}, {'atividade': 'EDUCACAO', 'quantidade': 2}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 1}]",2.1,3,0.03225806451612903,0.21779859484777517,0.44692737430167595,9,False
Pina,7205,"[{'atividade': 'SAUDE', 'quantidade': 1028}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 931}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 753}]",6.1,5,0.053763440860215055,0.2012987012987013,0.3128491620111732,30,False
Poco,2771,"[{'atividade': 'SAUDE', 'quantidade': 316}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 307}, {'atividade': 'EDUCACAO', 'quantidade': 275}]",3.1,0,0.0,0.0,0.0,-1,False
Ponto De Parada,89,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 21}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 8}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 6}]",2.1,0,0.0,0.0,0.0,-1,False
Porto Da Madeira,100,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 40}, {'atividade': 'EDUCACAO', 'quantidade': 7}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 6}]",2.2,0,0.0,0.0,0.0,-1,False
Prado,556,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 77}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 69}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 47}]",4.1,7,0.07526881720430108,0.27761194029850744,0.4581005586592179,6,True
Recife,3264,"[{'atividade': 'SERVICOS DE INFORMATICA', 'quantidade': 901}, {'atividade': 'EDUCACAO', 'quantidade': 265}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 236}]",1.1,3,0.03225806451612903,0.22962962962962963,0.2737430167597765,17,False
Rosarinho,185,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 51}, {'atividade': 'EDUCACAO', 'quantidade': 24}, {'atividade': 'BELEZA E HIGIENE PESSOAL', 'quantidade': 13}]",2.1,5,0.053763440860215055,0.2680115273775216,0.3575418994413408,53,False
San Martin,581,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 149}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 47}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 45}]",5.1,10,0.10752688172043011,0.25271739130434784,0.88268156424581,11,True
Sancho,52,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 22}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 7}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 3}]",5.3,4,0.043010752688172046,0.19254658385093168,0.1005586592178771,63,False
Santana,346,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 90}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 49}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 38}]",3.1,5,0.053763440860215055,0.256198347107438,0.22905027932960895,64,False
